current_action,predicted_action,Llama-3.2_model_reply
take sausage,put-in sausage,fetch sausage
open cheese,take-out cheese,fetch cheese
turn ringonion,turn potato,I'll wash the onion.
drain pasta,shake pasta,Drain pasta.
put tablecloth,pick-up ladle,I'll wash the tablecloth.
open containerfood,open packagecheese,I'll wash the container.
scrape skinfish,move skinfish,I'll wash the fish.
put-down juicefruit,pick-up yogurt,I'll wash the fruit.
close binfood,rinse hand,I'll wash the food.
pick-up scissors,place-in scissors,fetch scissors
wash corn,unfreeze corn,fetch corn.
fill-up kettle,put-on kettle,fetch water.
pick-up tomato,rinse tomato,fetch tomato
pick-up kale,open kale,I'll wash the kale.
put-in teaspoon,pick-up toweltea,fetch a teaspoon
take gloveoven,put-down gloveoven,I'll wash the gloveoven.
wash jug,rinse jug,fetch jug
fill bottlewater,close bottlewater,fetch water.
put-into boardcutting,take saucepan,fetch
put-into rice,end_of_video,fetch water.
close refrigerator,open boxmilk,fetch ingredients
wash dish,put-on dish,fetch dishes
pick-up meat,slice meat,fetch meat
take coffee,scoop coffee,fetch coffee beans
put-down kettle,pick-up chorizo,fetch water.
close dressingsalad,put-down dressingsalad,Wash the greens.
wash hand,move-within saucepan,wash
wash bowlglass,get spadefood,fetch bowlglass
wipe hand,close dishwasher,wash
open refrigerator,take-out fish,open refrigerator.
throw peel,pick-up peel,I'll wash the peel.
put-down mixer,wash grater,fetch mixer
check potcoffee,pick-up cupcoffee,fetch pot coffee
take-out tomatochopped,scrape-into onion,I'll wash the tomatoes.
take kettle,pour-into water,fetch water.
take saucepan,dry saucepan,fetch saucepan
set machinesousvide,pick-up salmon,I'll wash the vegetables.
wash hand,clean topcounter,wash
pour-into food,pick-up food,fetch
pick-up colander,shake colander,I'll wash the colander.
put-in pasta,set flame,fetch pasta
put-down hummus,pick-up jug,I'll wash the hummus.
take sugar,pour-in sugar,fetch sugar
wash panfrying,put-in mug,Wash pan.
take salt,put-in salt,fetch salt
start dishwasher,close dishwater,fetch dishwasher.
cut slicelemon,squeeze lemon,I'll wash the ingredients.
arrange-in avocado,fold bag,I'll wash the avocado.
search-for kiwi,cut kiwi,fetch kiwi
cut kiwi,scoop kiwi,I'll wash the kiwi.
cut pear,cut chunkpear,I'll wash the pear.
get mug,get glass,fetch mug
close bagplastic,pour milk,I'll wash the plastic bag.
wipe-off excesswater,check-in clothes,I'll wash the utensils.
put glass,end_of_video,I'll wash the glass.
get leafsalad,chop leaf,wash the leaves.
spray removerspot,turn mattable,I'm going to wash the pots and pans.
cut cucumber,throw cucumber,wash the cucumber.
take glass,put-on glass,I'll wash the glass.
blow-out candle,take glass,fetch candle
pour peppermore,mix-in food,I'll wash the peppermore.
get garbage,throw garbage,fetch garbage
close bagplastictrash,get bagtrash,I'll wash the plastic bag.
sponge topcounter,open wrap,I'll wash the sponge.
mash avocado,get avocado,I'll wash the avocado.
remove-off peel,remove peel,I'll wash the vegetables.
pick-up boardchopping,put-down spoonmeasuring,I'll wash the boardchopping tools.
put-down lighter,pour oil,I'll wash the lighter.
spread cheese,close package,I'll wash the cheese.
break-apart slicebutter,wash hand,I'll wash the butter.
take bagcereal,rinse hand,fetch bagcereal
pick-up peeler,pick-up toweltea,fetch peeler
pick-up mug,fill mug,I'm washing the mug.
pour-in waterhot,put-down kettle,fetch water
put-down glass,open cabinet,I'll wash the glass.
open bitfoodprocessor,wipe-off bowlprocessor,I'll wash the bitfoodprocessor.
slice banana,grab peel,Wash the banana.
open bag,grab omelette,I'll wash the bag.
grab lighter,put-onto shelf,fetch lighter
close can,put-down can,I'll wash the utensils.
grab makercoffee,wash makercoffee,fetch coffee beans
put-on kettle,close jug,fetch water.
rinse glass,grab liquidwashingup,Wash the glass.
cut-into tomato,pick-up tomato,Wash the tomatoes.
put-on salt,compress-in meat,fetch salt
put-down onion,gather skinonion,I'll wash the onion.
adjust bladepeeler,pick-up potato,fetch bladepeeler
pour squash,pour squashmore,fetch squash
put-down glass,grab glass,I'll wash the glass.
close butter,pick-up butter,I'll wash the butter.
put-on tongs,pick-up knifebread,I'll wash the tongs.
take steak,put-in steak,I'll wash the steak.
put-in colander,end_of_video,fetch vegetables
check recipe,unlock-from blender,fetch ingredients.
spoon rice,pick-up liquidwashingup,Wash the spoon.
put-down teaspoon,rinse hand,I'll wash the teaspoon.
rinse boardchopping,pick-up toweltea,Wash the board.
open packageegg,put-in egg,I'm washing the egg.
put-down peeler,wash potato,I'll wash the peeler.
pick-up pasta,put-down pasta,fetch pasta
throw-into dust,wipe hand,I'll wash the utensils.
put-down jarpepper,pick-up jarspice,I'll wash the jarpepper.
pick-up saucepan,pick-up mug,fetch saucepan
shake mug,put-down mug,I'm washing the mug.
pick-up boardchopping,open bintrash,I'll wash the boardchopping tools.
pick-up piececarrot,eat piececarrot,I'll wash the carrot.
take sugar,pour-into sugar,fetch sugar
wash tupperware,rinse tupperware,fetch tupperware
get oil,oil balldough,fetch oil.
put-in nesquik,close bottlenesquik,I'll wash the Nesquik.
remove coffee,put-down teaspoon,fetch coffee beans
put-down salt,open cabinet,fetch salt
turn knob,grab onion,I'm washing the utensils.
put-on soap,take boardcutting,fetch soap
put-away basket,close dishwasher,fetch ingredients
dry tupperware,wash tupperware,I'll wash the dry tupperware.
wipe hand,take bag,wash
take turkeysliced,take water,Wash the turkeys.
close oven,put-in gloveoven,I'll wash the oven.
grab jug,pour-into water,fetch jug
put-in food,take-from food,fetch food
take toweltea,empty water,fetch towel
wash glass,rinse glass,Wash glass.
cut peach,remove peach,I'll wash the peach.
put-in clothes,take clothes,fetch clothes
close oven,pick-up boardchopping,I'll wash the oven.
put-down pasta,pick-up salt,I'll wash the pasta.
put-down cloth,pick-up napkin,I'll wash the cloth.
put-down cloth,pick-up traybaking,I'll wash the cloth.
put-down traybaking,pick-up oil,fetch traybaking
pick-up cookerrice,put-on cookerrice,fetch cookerrice
turn-off timer,set timer,fetch water.
close oven,adjust oven,I'll wash the oven.
pick-up chicken,put-down chicken,fetch chicken
spread-onto basil,take spatula,I'll wash the basil leaves.
pour-in milk,close milk,fetch milk
put-down sausage,take-out salt,I'll wash the sausage.
take-out cherry,open box,I'll wash the cherry.
pour-in pesto,stir-in pasta,fetch pesto
throw napkin,take napkin,I'll wash the napkin.
stir pasta,end_of_video,Wash pasta.
pick-up dish,put dish,fetch dish
pick-up pressergarlic,put-in pressergarlic,I'll wash the presser garlic.
put-in cereal,close bag,fetch cereal.
collect skinonion,throw-away skinonion,I'll wash the onion.
put-on floor,pick-up pasta,fetch ingredients
stir onion,stir egg,Wash the onion.
remove mat,close machinewashing,I'll wash the utensils.
close bintrash,put-on glove,fetch bintrash
put-down bag,adjust bag,fetch bag.
put-down glass,pick-up teaspoon,I'll wash the glass.
open bagglove,get glove,I'll wash the bagglove.
scoop-up soup,pour-from soup,fetch soup
slice-through meat,stir onion,Wash meat.
pick-up oil,pour-on oil,fetch oil.
put-into spatula,move traycutlery,I'll wash the spatula.
rinse mug,put-in spoonwooden,fetch water.
scrub piecelemonsqueezer,rinse piecelemonsqueezer,I'll wash the piecelemonsqueezer.
pick-up piecetofu,put-in piecetofu,I'll wash the tofu.
pour-into milk,put-on cap,fetch milk.
pick-up milk,open milk,fetch milk
put-down napkin,pick-up detergent,I'll wash the napkin.
rinse wok,empty wok,wash the wok.
pick-up boardchopping,put-down boardchopping,I'll wash the boardchopping tools.
put-down restspoon,pick-up spatula,I'm washing the rest spoon.
put-on steak,turn-off cooker,I'll wash the steak.
empty carafe,rinse carafe,fetch water.
pick-up ladle,end_of_video,I'm washing the ladle.
pick-up mixturetuna,shape-into patty,I'll wash the tuna mixture.
pick-up tiramisu,pick-up yoghurt,fetch tiramisu
pour powderbiscuit,pour-from biscuit,I'll wash the powderbiscuit.
move kettle,pick-up flour,fetch kettle
pick-up pasta,put-down pasta,fetch pasta
measure wine,pick-up clip,wash the wine bottle.
put-down cantin,compress meat,I'll wash the pot.
wash hand,shake hand,wash
tap spatula,wash spatula,I'm washing the spatula.
put-down glass,move glass,I'll wash the glass.
put-down napkin,grab oil,I'll wash the napkin.
dry hand,put-down cloth,I'll wash the utensils.
pick-up cloth,dry hand,fetch cloth
turn-off oven,drink water,fetch water
stir ingredient,put-down spatula,wash the pot.
pick-up kettle,pour-into kettle,fetch kettle
open bag,pick-up bag,I'll wash the bag.
put-down cutlery,pick-up cloth,fetch utensils
pick-up glass,put-down glass,I'm washing the glass.
put-in clothes,turn-on washer,fetch clothes
grab salt,open salt,fetch salt
wash hand,take napkin,wash
pour-from yoghurt,scoop yoghurt,fetch milk.
pick-up kettle,pour-from water,fetch kettle
take-from creamremainingice,put-on box,I'll wash the cream.
pour-out saucepan,wash saucepan,fetch saucepan
pick-up liquidwashingup,pick-up paper,fetch liquid
sponge mug,rinse mug,fetch water.
pick-up cloth,dry hand,fetch cloth
lather colander,rinse colander,I'll wash the colander.
pick-up mug,pick-up spatula,I'm washing the mug.
put package,hold meat,fetch package.
put spoonwooden,switch-off oven,I'll wash the spoonwooden.
cut melon,pick-up melon,I'll wash the melon.
pour-in milk,put milk,fetch milk
cut potato,pick-up peelerpotato,Wash the potatoes.
rotate pizza,cut pizza,fetch pizza
stir mocha,pick-up colander,fetch coffee beans
put-down cutlery,put-down mozzarella,fetch utensils
spread-on jam,scoop jam,I'll wash the jam to prevent it from sticking to the counter.
pour-from milk,pour-into water,fetch milk.
throw-in cheese,throw-in chicken,fetch cheese
close bottlemilk,turn-on machinecoffee,I'll wash the bottle.
pick-up boardchopping,clear boardchopping,I'll wash the boardchopping tools.
move mozzarella,pick-up dough,I'll wash the mozzarella.
rinse scoop,wash teaspoon,fetch water.
close dishwasher,move chair,fetch dishwasher.
pick-up glass,rinse glass,I'm washing the glass.
put-down scissors,close paperbaking,I'll wash the scissors.
pick-up seedolive,throw seedolive,I'll wash the seedolive.
pick-up butter,spread-on butter,fetch butter
put-down boardcutting,pick-up spatula,I'll wash the board.
test potato,pick-up paneer,Wash the potato.
dry boardchopping,put boardchopping,I'll wash the board.
close tupperware,pick-up tupperware,I'm going to wash the Tupperware.
pick-up napkin,pick-up rusk,fetch napkin
chop chilli,put-in chilli,I'll wash the chilli.
put-down pizza,pick-up boxpizza,fetch pizza
open freezer,pick-up chilli,open freezer
spoon-into yoghurt,put yoghurt,Wash the utensils.
pick-up bagplastic,open bagplastic,fetch plastic
put salad,pick-up envelope,wash the greens.
pick-up tissue,throw napkin,fetch tissue
pick-up salt,put-on salt,fetch salt
stir meat,rinse hand,Wash meat.
move piecetofu,flip-over piecetofu,fetch piecetofu
slice omeletterolled,flip burgertuna,I'll wash the omelette.
cut-into paneer,slice paneer,I'll wash the paneer.
pick-up pie,put-in pie,fetch pie
put-down bottlemilk,rinse hand,I'll wash the bottle.
dry hand,turn-on kettle,I'll wash the utensils.
spoon saucespicybean,put-down jarspicybeansauce,I'll wash the saucepan.
put spatula,pick-up spatula,I'm washing the spatula.
test water,wash lidsaucepan,I'll wash the water.
put-down fish,put-down cheese,I'll wash the fish.
cut onion,put-on onion,wash the onion.
hold-in tablet,pick-up filterwater,I'll wash the tablet.
put-on clovegarlic,put-into bulbgarlic,I'll wash the clovegarlic.
put-down teaspoon,put cutlery,I'll wash the teaspoon.
wash panbaking,rinse panbaking,fetch ingredients
put-down teaspoon,pick glass,I'll wash the teaspoon.
lather traybaking,put-down traybaking,Wash traybaking
pick-up glass,rinse glass,I'm washing the glass.
put-on cheese,throw-in paper,fetch cheese
put-on rollkitchen,put-down teaspoon,I'll wash the rollkitchen.
spread-on butter,scoop-out butter,I'll wash the butter.
pick-up balldough,put-on dough,I'll wash the dough.
take cuptea,fold toweltea,I'll wash the caputea.
dry hand,open oven,I'll wash the utensils.
shake hand,dry hand,I'll wash the chef's hands.
pick-up tupperware,walk-with tupperware,fetch tupperware
put-in rollkitchen,put-in foodleftover,fetch ingredients
put-in mug,pick-up jugwater,fetch mug
pour-into water,drink water,fetch water.
drink water,put-down tupperware,fetch water
put-on pepper,sprinkle-on salt,I'll wash the pepper.
grab butter,place butter,fetch butter
pick-up spatula,pick-up squash,fetch
put slicer,put mug,I'll wash the utensils.
throw-into leftover,wipe cooker,I'll wash the container.
pick-up glass,pick-up cloth,I'm washing the glass.
pour-in sauce,close bottlesauce,fetch sauce
crack-on eggopen,throw leftoveregg,I'm washing the eggs.
pick-up kettle,pour-into water,fetch kettle
press button,insert-in coffee,I'll wash the utensils.
pick-up lidsaucepan,put-down lidsaucepan,fetch saucepan
rinse glass,put-down glass,Wash the glass.
open packagecookie,put-on cookie,I'll wash the package cookie.
close bottlesauce,put bottlesauce,I'll wash the bottlesauce.
take chicken,put chicken,Wash the chicken.
put-in boardcutting,grab cupmeasuring,fetch boardcutting
grab cutlery,pour liquidwashingup,fetch cutlery
empty boxlunch,open bag,fetch ingredients
pick-up cutlery,take saucepan,fetch cutlery
pick-up bag,end_of_video,fetch bag.
rinse dish,place detergent,Wash the dish.
rinse scissors,scrub scissors,wash the scissors.
put-in saucepan,open machinewashing,fetch saucepan
put-in rubbish,rinse lidsaucepan,fetch the rubbish
chop carrot,put-in carrot,I'll wash the carrot.
put-down glass,pick-up tupperware,I'll wash the glass.
put-in onion,take bag,fetch onion
pick-up banana,wash clothtable,fetch banana
clean bowlwashingup,pour water,fetch ingredients
put-down saucepan,rinse saucepan,fetch saucepan
put pepperbell,take pepperbell,I'll wash the pepperbell.
put-down kettle,turn-on kettle,fetch water.
pick-up boxwashingpowder,open box,fetch boxwashingpowder
put-down milk,open lidmilk,fetch milk
throw can,put-down napkin,I'll wash the can.
move cutlery,move pasta,fetch cutlery
fold cloth,pick-up glass,I'll wash the cloth.
stir pasta,pour pasta,Wash pasta.
pick-up dish,put-in pasta,fetch dish
put-down boardcutting,pick-up package,I'll wash the board.
rinse traybaking,lather traybaking,Wash the baking tray.
